Fecha,Vendedor,Hospital,Detalle,Proximo_Paso,Titulo
2025-07-05,Emiliano,HOSPITAL ITALIANO,Primera reunión del semestre. Revisamos contrato actual.,Preparar renovación,Reunión semestral
2025-07-10,Emiliano,SANATORIO GÜEMES,Visita de seguimiento. Todo OK con los productos.,Mantener contacto,Control mensual
2025-07-12,Agustina,HOSPITAL PIROVANO,Entrega de muestras nuevas. Muy interesados.,Esperar feedback,Muestras nuevas
2025-07-15,Mauricio,HOSPITAL CENTRAL SAN ISIDRO,Reunión con director. Quieren ampliar pedidos.,Preparar cotización ampliada,Oportunidad ampliación
2025-07-18,Emiliano,HOSPITAL GARRAHAN,Entrega mensual. Sin novedades.,Próxima entrega agosto,Entrega julio
2025-07-22,Agustina,SANATORIO OTAMENDI,Reunión con Dr. Martinez. Nuevo proyecto de incontinencia.,Enviar propuesta detallada,Proyecto incontinencia
2025-07-25,Mauricio,SANATORIO NORTE,Control de stock. Necesitan pedido urgente.,Coordinar entrega,Stock bajo
2025-08-02,Emiliano,HOSPITAL ITALIANO,Seguimiento renovación contrato. En proceso.,Esperar firma,Renovación contrato
2025-08-05,Agustina,HOSPITAL POSADAS,Primera visita prospección. Proceso de licitación.,Monitorear licitación,Prospección inicial
2025-08-08,Mauricio,SANATORIO SAN LUCAS,Renovación anual automática. Firma OK.,Próximo año,Renovación firmada
2025-08-12,Emiliano,CLÍNICA BAZTERRICA,Consulta por nuevos productos. Interesados en incontinencia.,Enviar catálogo,Nuevos productos
2025-08-15,Agustina,HOSPITAL RIVADAVIA,Visita nuevo cliente. Firmamos primer contrato.,Coordinar primera entrega,Nuevo cliente!
2025-08-18,Mauricio,HOSPITAL DE TIGRE,Evento 10 años hospital. Networking con decisores.,Seguimiento contactos,Evento networking
2025-08-22,Emiliano,HOSPITAL FERNÁNDEZ,Reunión licitación 2026. Preparamos documentación.,Presentar en septiembre,Licitación 2026
2025-08-28,Agustina,CLÍNICA SANTA ISABEL,Reunión renovación. Todo OK.,Renovar agosto próximo,Renovación OK
2025-09-01,Mauricio,CLÍNICA DEL SOL,Primera reunión. Muy interesados pero sin presupuesto.,Retomar en 2026,Primera reunión
2025-09-05,Emiliano,SANATORIO GÜEMES,Renovación contrato. Ampliamos línea de productos.,Entrega nueva línea sept,Contrato ampliado
2025-09-10,Agustina,SANATORIO OTAMENDI,Presentación propuesta incontinencia. Aprobada!,Coordinar implementación,Propuesta aprobada
